Image,Face_Index,BASE_Name,BASE_Conf,BASE_Time(ms),Gate Decision,GATE_Name,GATE_Conf,GATE_Time(ms),Conf_Gain,Time_Cost(ms)
2091640e-5f45-47b8-9aed-9f1b14e6c3b3.JPG,"(0, 18, 371, 524)",yoav,0.9957,376.84,normal,yoav,0.9957,15.97,0.00,-360.87
2336799E-1A16-4C33-BB10-866A95E8D5EB.JPG,"(0, 0, 1393, 1813)",yoav,0.6556,3.75,normal,yoav,0.6556,41.81,0.00,38.07
25b405bb-0516-4566-b106-cfc8dd5e3612.JPG,"(0, 5, 182, 241)",yoav,0.9995,0.00,normal,yoav,0.9995,15.71,0.00,15.71
37f9225f-3823-4b47-a45f-ebba24d02085.JPG,"(15, 16, 247, 248)",yoav,0.9931,3.75,normal,yoav,0.9931,0.00,0.00,-3.75
390cc8da-d9e0-4423-aee4-142cb7497145.JPG,"(424, 535, 800, 911)",yoav,0.9997,3.75,normal,yoav,0.9997,15.65,0.00,11.90
4026d56c-d37c-41da-bf5e-ed6b4ac43e02.JPG,"(0, 10, 316, 426)",yoav,0.9875,0.00,normal,yoav,0.9875,15.65,0.00,15.65
422b3f7d-b32c-4fb8-ba3b-7d1d45f993a3.JPG,"(0, 17, 291, 405)",yoav,0.8963,0.00,normal,yoav,0.8963,15.76,0.00,15.76
43f46456-e764-4743-b226-b1127aa9c848.JPG,"(0, 20, 399, 546)",yoav,0.9967,16.09,normal,yoav,0.9967,21.58,0.00,5.49
53f3c681-77b3-47bc-af0e-e8b759805290.JPG,"(241, 478, 705, 942)",yoav,0.9999,17.73,normal,yoav,0.9999,12.03,0.00,-5.70
58a6739a-f865-45c1-adbf-60bafe453497.JPG,"(0, 19, 294, 393)",yoav,0.9998,7.76,normal,yoav,0.9998,15.69,0.00,7.92
605ebbcd-df59-4552-ad0c-bd921b39a73c.JPG,"(310, 438, 780, 908)",yoav,0.9996,0.00,normal,yoav,0.9996,15.75,0.00,15.75
615D9CED-5EB6-41FD-A9B3-82AA4C764D14 - Copy.JPG,"(0, 19, 1236, 1738)",omer,0.5978,26.55,normal,omer,0.5978,21.56,0.00,-5.00
61b820df-2387-46cb-82ac-f565df4787a2.JPG,"(0, 34, 268, 368)",yoav,0.9981,15.72,motion_blur,yoav,0.9189,1.97,-7.92,-13.75
61FCA7B2-3EE5-4786-B677-790A6787B0B7.JPG,"(0, 48, 1239, 1714)",yoav,0.8928,30.16,motion_blur,yoav,0.8251,64.97,-6.77,34.80
642f9fca-e3fb-425e-a16e-cfaa53b3fd22.JPG,"(0, 17, 388, 537)",yoav,0.9947,1.01,low_light,yoav,0.9913,206.75,-0.35,205.75
652f11fa-8a9b-4f16-a600-c3a0c334f1a7.JPG,"(0, 21, 382, 541)",yoav,0.9924,3.75,normal,yoav,0.9924,0.00,0.00,-3.75
66ea818f-dbcb-4fbc-a8d2-4b24496cf4af.JPG,"(0, 15, 392, 525)",yoav,0.9995,8.02,low_light,yoav,0.9973,5.75,-0.22,-2.26
679a0434-c589-48d3-83eb-e2f478e97288.JPG,"(0, 19, 381, 525)",yoav,1.0000,0.00,normal,yoav,1.0000,20.07,0.00,20.07
680b9169-cdef-4d92-a0af-1f889dae93e7.JPG,"(0, 13, 219, 411)",yoav,0.9161,8.02,normal,yoav,0.9161,11.78,0.00,3.75
68f1b207-51ff-4f83-b8df-da45d5942da5.JPG,"(245, 465, 739, 959)",yoav,0.9998,7.76,normal,yoav,0.9998,15.68,0.00,7.93
7095307c-4ed4-4ac8-bdc7-032b6eeaa253.JPG,"(0, 13, 395, 557)",yoav,0.9957,15.63,normal,yoav,0.9957,15.64,0.00,0.01
73453264-0045-4b38-bf85-378ee4411c2e.JPG,"(489, 716, 729, 956)",yoav,0.8819,5.75,normal,yoav,0.8819,14.03,0.00,8.27
75c15ad0-b4f0-4168-bbb5-d6ecad040ab9.JPG,"(0, 6, 372, 496)",yoav,0.9983,0.00,low_light,yoav,0.9986,29.99,0.03,29.99
78754992-8693-4f2a-b38d-81d28ed01cc4.JPG,"(0, 10, 268, 394)",yoav,0.9444,21.65,motion_blur,yoav,0.6181,11.78,-32.62,-9.87
80a665d2-dde0-4ae5-9363-c99f7352dc00.JPG,"(0, 18, 400, 562)",yoav,0.9902,8.02,normal,yoav,0.9902,9.77,0.00,1.76
81a31d3d-fa6b-4459-8289-a14d24962707.JPG,"(0, 15, 305, 431)",yoav,0.9994,0.00,normal,yoav,0.9994,24.07,0.00,24.07
825498d9-d940-40dc-8233-b8c1286e70f0.JPG,"(0, 16, 386, 536)",yoav,0.9990,6.02,normal,yoav,0.9990,7.76,0.00,1.74
85a6264b-bf82-4edf-a1ba-bfd483dae9e5.JPG,"(0, 12, 385, 494)",yoav,0.9989,7.77,normal,yoav,0.9989,0.00,0.00,-7.77
88463ea3-b181-421b-94bf-4a8b49904b41.JPG,"(0, 11, 316, 429)",yoav,0.9943,6.02,normal,yoav,0.9943,4.83,0.00,-1.19
95B2E8F6-E823-4AF5-B60E-A361F04834AE.JPG,"(0, 63, 1271, 1708)",yoav,0.8115,15.73,motion_blur,yoav,0.8311,79.01,1.96,63.28
9645e5f1-daae-4300-9873-36948ed82646.JPG,"(0, 52, 179, 350)",omer,0.6542,18.42,normal,omer,0.6542,0.00,0.00,-18.42
96B9721C-F670-4DC3-AFFF-802189A28C29.JPG,"(0, 48, 1329, 1904)",omer,0.9184,17.65,motion_blur,omer,0.8780,91.40,-4.04,73.75
96d29e67-2951-4608-817c-617817fd19cd.JPG,"(0, 41, 753, 1123)",yoav,0.9932,19.28,normal,yoav,0.9932,12.60,0.00,-6.68
96e10b6d-f2c1-409a-88fc-5e2bb3527ce9.JPG,"(0, 9, 197, 277)",yoav,0.9656,15.73,normal,yoav,0.9656,15.66,0.00,-0.07
973f1903-c488-4534-9d27-76b22b0c3898.JPG,"(0, 0, 338, 569)",yoav,0.9998,0.00,motion_blur,yoav,0.9998,15.65,-0.00,15.65
988ffa59-0f64-4879-bb72-f8fba28dcbd6.JPG,"(0, 2, 162, 210)",yoav,0.9990,5.76,motion_blur,yoav,0.9990,0.00,0.00,-5.76
9989b88f-278d-4e9d-a58f-ee89c922d3af.JPG,"(339, 632, 801, 1094)",yoav,0.9994,0.00,normal,yoav,0.9994,15.92,0.00,15.92
a0405c32-c7ba-4ebd-a3ca-dfcb87be2b19.JPG,"(0, 15, 394, 507)",yoav,0.9968,0.00,normal,yoav,0.9968,15.99,0.00,15.99
a674fb03-4af0-43ab-a5e8-90c853ab9a8b.JPG,"(0, 0, 395, 451)",yoav,0.9680,0.00,normal,yoav,0.9680,21.71,0.00,21.71
a8051114-2fdc-4cb5-bfa3-418528e625dc.JPG,"(443, 814, 753, 1124)",yoav,0.9101,6.02,normal,yoav,0.9101,9.76,0.00,3.75
ab0b57f8-263a-47f8-85c1-026bdf80132d.JPG,"(0, 18, 382, 534)",yoav,0.9794,16.13,normal,yoav,0.9794,0.00,0.00,-16.13
ab4749ec-f0be-4817-affa-58482d18f14e.JPG,"(0, 12, 366, 502)",yoav,0.9976,21.60,normal,yoav,0.9976,10.15,0.00,-11.44
ab94a46a-3c22-411b-8c5a-5ea6e649a5e0.JPG,"(0, 17, 358, 513)",yoav,0.9991,3.76,normal,yoav,0.9991,15.65,0.00,11.90
abe8f440-d779-4287-834a-e8930dcd125b.JPG,"(0, 12, 344, 468)",yoav,0.9997,15.68,normal,yoav,0.9997,7.77,0.00,-7.91
AD35D109-77D8-41F3-9D29-E4D6ABDA499F.JPG,"(0, 64, 1198, 1654)",yoav,0.9919,15.65,motion_blur,yoav,0.9855,63.40,-0.64,47.76
ae382b8d-38a5-48ad-b341-793ed3cddf91.JPG,"(0, 8, 366, 500)",yoav,0.9996,15.70,low_light,yoav,0.9995,15.67,-0.01,-0.03
ae81c13b-e078-40d9-aeac-960b7f4f9516.JPG,"(0, 15, 368, 501)",yoav,0.9991,15.28,low_light,yoav,0.9996,17.95,0.05,2.67
b1d86630-dac9-4a88-8b20-a5a7a87b5171.JPG,"(0, 15, 310, 427)",yoav,0.9923,23.66,normal,yoav,0.9923,7.77,0.00,-15.90
b2b47b8a-9f29-492e-84ac-2ccadfb7b3dd.JPG,"(0, 9, 302, 415)",yoav,0.9999,13.64,normal,yoav,0.9999,10.03,0.00,-3.61
b74af341-f525-4ec2-ab07-e70224b74d8b.JPG,"(0, 16, 422, 610)",yoav,0.9996,15.72,normal,yoav,0.9996,0.00,0.00,-15.72
b83bb53d-4d25-4859-b34b-0e7d5924e96e.JPG,"(0, 9, 192, 275)",yoav,0.9898,0.00,normal,yoav,0.9898,15.91,0.00,15.91
ba14feee-2fe9-4d1f-b995-40ef477451f7.JPG,"(0, 11, 336, 433)",yoav,0.9997,0.00,normal,yoav,0.9997,15.66,0.00,15.66
bd638740-ed9d-4f3d-adde-156ba567d7d4.JPG,"(0, 13, 378, 509)",yoav,0.9988,0.00,low_light,yoav,0.9960,31.85,-0.28,31.85
c1dba0f8-888c-4f1f-81c2-c4be22ee8ca5.JPG,"(0, 20, 396, 494)",yoav,0.9994,9.78,normal,yoav,0.9994,0.00,0.00,-9.78
c3802ccb-4646-43dc-ba5f-c88e3c10f42c.JPG,"(0, 13, 318, 445)",yoav,0.9989,0.00,normal,yoav,0.9989,15.65,0.00,15.65
c3da79ef-47c0-47ca-a532-d7b7d2be587b.JPG,"(0, 12, 357, 504)",yoav,0.9951,15.68,normal,yoav,0.9951,19.70,0.00,4.02
c9239e68-3801-4b18-928f-1eb7f73aefab.JPG,"(0, 10, 198, 296)",yoav,0.9949,5.87,motion_blur,yoav,0.5149,0.00,-48.00,-5.87
cc891c03-7c50-4a27-8904-8f76c61f1e5e.JPG,"(0, 10, 120, 176)",yoav,0.9901,8.02,motion_blur,yoav,0.9901,1.74,0.00,-6.27
d565921e-a751-41f1-a3e6-485ece6296af.JPG,"(0, 12, 197, 276)",yoav,0.9933,15.66,normal,yoav,0.9933,0.00,0.00,-15.66
d604c8c1-0c9b-4693-8fde-05378781ab83.JPG,"(0, 15, 322, 427)",yoav,0.9991,9.77,normal,yoav,0.9991,0.00,0.00,-9.77
d9bec5f5-b26a-4610-83b4-b51a6f04a7ae.JPG,"(0, 21, 315, 429)",yoav,0.9999,0.00,normal,yoav,0.9999,16.08,0.00,16.08
dda1110a-1ef3-4135-94ea-8332054f964f.JPG,"(0, 20, 372, 536)",yoav,0.9937,16.09,normal,yoav,0.9937,15.72,0.00,-0.37
ddf50c09-52b4-4162-b835-55547a001605.JPG,"(0, 10, 371, 504)",yoav,0.9981,15.68,normal,yoav,0.9981,0.00,0.00,-15.68
DSC_9860.JPG,"(0, 12, 295, 390)",yoav,0.9410,10.79,normal,yoav,0.9410,12.35,0.00,1.56
e18d6ca3-1aab-459c-a009-6e7e5180b877.JPG,"(0, 23, 227, 441)",omer,0.7105,7.86,normal,omer,0.7105,9.78,0.00,1.92
e34387ea-d826-499d-9b70-b935ba0dfa22.JPG,"(0, 19, 283, 383)",yoav,0.9997,14.93,normal,yoav,0.9997,10.03,0.00,-4.90
e45ec58d-54f3-4cbd-949a-0893efbbb099.JPG,"(0, 25, 599, 865)",yoav,0.9885,9.77,normal,yoav,0.9885,24.09,0.00,14.32
e9fccd46-e03f-429e-a664-f38dc70ceb5f.JPG,"(256, 430, 860, 1034)",yoav,0.9996,16.03,normal,yoav,0.9996,17.67,0.00,1.64
ea542d4c-4acc-41d7-b522-9f31b90e6b01.JPG,"(0, 15, 360, 493)",yoav,0.9997,6.02,low_light,yoav,0.9998,5.76,0.01,-0.26
ead4c29b-aab0-4f1d-b9dd-126a7e16167f.JPG,"(0, 19, 389, 441)",yoav,0.9990,0.00,normal,yoav,0.9990,25.67,0.00,25.67
ee539f4e-0a7d-410c-be36-6565f5ec0b55.JPG,"(0, 21, 170, 277)",omer,0.7753,0.00,motion_blur,omer,0.9064,15.68,13.12,15.68
ef6d9145-2d1a-48b5-a677-7db2efdb9c6c.JPG,"(0, 11, 205, 271)",yoav,0.9745,0.00,normal,yoav,0.9745,15.65,0.00,15.65
f1d469c2-b97b-4f89-9f63-87bf0bb21f1e.JPG,"(460, 670, 764, 974)",yoav,0.9996,22.12,normal,yoav,0.9996,9.76,0.00,-12.36
f3c648e5-851b-4b87-b3dc-cfcfa7371abd.JPG,"(0, 14, 378, 520)",yoav,0.9944,15.65,normal,yoav,0.9944,15.64,0.00,-0.01
f5788af6-beb5-44ff-8adb-2617fdf8302e.JPG,"(0, 14, 295, 396)",yoav,0.9987,0.00,normal,yoav,0.9987,21.71,0.00,21.71
F82B0B13-46D0-4C9D-A160-51C38C35F66E.JPG,"(0, 86, 1282, 1563)",yoav,0.9698,25.72,motion_blur,yoav,0.9705,71.26,0.08,45.54
fa81ae54-7465-4406-b4fc-74284e09ae44.JPG,"(0, 10, 235, 328)",yoav,0.9967,16.10,normal,yoav,0.9967,15.65,0.00,-0.46
fc94f044-40c9-4cc4-a666-edc3513de8a4.JPG,"(27, 14, 245, 232)",yoav,0.9965,7.02,normal,yoav,0.9965,9.77,0.00,2.75
feba6ace-d297-4e8e-bbdb-d58068642e60.JPG,"(0, 2, 312, 420)",yoav,0.9959,6.62,normal,yoav,0.9959,13.00,0.00,6.38
img10.JPG,"(0, 22, 1276, 1376)",yoav,0.9905,15.72,motion_blur,yoav,0.9921,85.05,0.16,69.33
img11.JPG,"(0, 23, 1166, 1489)",yoav,0.9940,12.26,normal,yoav,0.9940,43.85,0.00,31.59
img12.jpg,"(0, 0, 1136, 1522)",omer,0.8288,13.77,motion_blur,omer,0.8571,64.06,2.83,50.30
img2.JPG,"(0, 0, 1178, 1209)",yoav,0.6869,15.71,low_light,omer,0.7678,66.25,8.08,50.54
img3.JPG,"(0, 52, 1296, 1780)",yoav,0.6565,7.76,motion_blur,yoav,0.5867,99.74,-6.99,91.98
img4.JPG,"(0, 54, 1291, 1792)",yoav,0.9727,29.55,normal,yoav,0.9727,27.56,0.00,-1.99
img5.JPG,"(0, 42, 1226, 1706)",yoav,0.9824,15.78,motion_blur,yoav,0.9689,96.19,-1.34,80.41
